,cid,createTime,date,diggCount,replyCommentTotal,submittedVideoUrl,text,videoWebUrl,user_screen_name
171,7.166714060775015e+18,1668630669,2022-11-16T20:31:09.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,They took the roles in exchange for favours . Not heroes and certainly not a sisterhood “victim” enabled and perpetuated his outrageous behaviour,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
172,7.165954204254406e+18,1668453746,2022-11-14T19:22:26.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,The irony,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
173,7.168081249155368e+18,1668948993,2022-11-20T12:56:33.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,They will use the money for new orphanages charity’s etc and keep it all and send it to Israel . Pretty much wat happens all over world . Not anti sem,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
174,7.167296461776111e+18,1668766297,2022-11-18T10:11:37.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,This doesn’t seem gripping tbf,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
175,7.166583236196582e+18,1668600213,2022-11-16T12:03:33.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,ah we see bigger Hollywood trying to act like it did something instead of letting him get away with it for years,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
176,7.166404226167391e+18,1668558543,2022-11-16T00:29:03.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Produced by….HOLLYWOOD?!?!,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
177,7.166338018474051e+18,1668543111,2022-11-15T20:11:51.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Like I don’t care… they never make these movies well.. and jefrey got off,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
178,7.166989281793099e+18,1668694754,2022-11-17T14:19:14.000Z,0,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,hollywood… talking about hollywood?,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
179,7.167509839349384e+18,1668815959,2022-11-18T23:59:19.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"Not interested, everyone start your world of Warcraft subscription 28th November",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
180,7.166287025574151e+18,1668531246,2022-11-15T16:54:06.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Reverse psychology,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
181,7.166890067863062e+18,1668671655,2022-11-17T07:54:15.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Holllllltttttt,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
182,7.166232636138046e+18,1668518586,2022-11-15T13:23:06.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,"spoiler, I already know the ending 😂",https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
183,7.166673573309646e+18,1668621241,2022-11-16T17:54:01.000Z,0,1.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,AYO CAPTION HOLT@Ollie 🎃👻 @Milliemiss0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
184,7.166543703342319e+18,1668591024,2022-11-16T09:30:24.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,@assceneinpodcast !,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
185,7.166290353683138e+18,1668532022,2022-11-15T17:07:02.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,ZOEEEE🫶,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
186,7.166853563778401e+18,1668663164,2022-11-17T05:32:44.000Z,0,0.0,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,Women chasing the 💵,https://www.tiktok.com/@universalpicturesuk/video/7164319787726687494,
